topic_id,clean_topic_label,transition,growth_pp,initial_share_pp,avg_rating_z_year,avg_rating,log_topic_size,prestige_concentration,topic_size
8,LLM reasoning,2023_to_2024,1.0539922970465854,1.7712865133623368,0.0491489097947408,4.920233196159122,6.18826412308259,0.1584362139917695,486
8,LLM reasoning,2024_to_2025,3.133858533518433,2.825278810408922,0.0491489097947408,4.920233196159122,6.18826412308259,0.1584362139917695,486
1,3D vision / scene generation,2023_to_2024,2.424774521877019,5.282784338098198,-0.1018803640461385,5.040513983371127,6.78332520060396,0.119047619047619,882
1,3D vision / scene generation,2024_to_2025,-0.12148243167404438,7.707558859975217,-0.1018803640461385,5.040513983371127,6.78332520060396,0.119047619047619,882
14,preference learning / alignment,2023_to_2024,1.572382116394537,0.435052827843381,0.0289671987096749,5.082428571428571,5.303304908059076,0.135,200
14,preference learning / alignment,2024_to_2025,-0.021055829595465925,2.007434944237918,0.0289671987096749,5.082428571428571,5.303304908059076,0.135,200
23,LLM safety / jailbreaks,2023_to_2024,0.9968478116049516,0.2175264139216905,-0.0229119941086685,4.884899328859061,5.010635294096256,0.0738255033557047,149
23,LLM safety / jailbreaks,2024_to_2025,0.5449901331566722,1.214374225526642,-0.0229119941086685,4.884899328859061,5.010635294096256,0.0738255033557047,149
22,efficient attention / KV cache,2023_to_2024,0.28686993776488046,1.3983840894965818,0.096203944426584,5.108994708994708,5.53338948872752,0.1468253968253968,252
22,efficient attention / KV cache,2024_to_2025,0.9443335625985452,1.6852540272614622,0.096203944426584,5.108994708994708,5.53338948872752,0.1468253968253968,252
21,video temporal understanding,2023_to_2024,0.251428034530056,0.839030453697949,-0.0804889007596239,4.86859344894027,5.159055299214529,0.1329479768786127,173
21,video temporal understanding,2024_to_2025,0.8391669374246626,1.090458488228005,-0.0804889007596239,4.86859344894027,5.159055299214529,0.1329479768786127,173
37,LoRA / low-rank finetuning,2023_to_2024,0.6062244361217839,0.3107520198881293,0.0041686435351239,4.931638418079096,4.77912349311153,0.1440677966101695,118
37,LoRA / low-rank finetuning,2024_to_2025,0.4261941834149827,0.9169764560099132,0.0041686435351239,4.931638418079096,4.77912349311153,0.1440677966101695,118
46,language LLMs of the,2023_to_2024,0.5653915436943526,1.4916096954630205,0.1314833279317556,5.253231292517007,5.53338948872752,0.1388888888888889,252
46,language LLMs of the,2024_to_2025,0.23206421676392797,2.057001239157373,0.1314833279317556,5.253231292517007,5.53338948872752,0.1388888888888889,252
36,agents LLMs agent language,2023_to_2024,0.3930647234461049,1.1187072715972657,0.0539285015455479,5.155527210884353,5.2832037287379885,0.1530612244897959,196
36,agents LLMs agent language,2024_to_2025,0.3610997416195125,1.5117719950433706,0.0539285015455479,5.155527210884353,5.2832037287379885,0.1530612244897959,196
20,vision tokens and the,2023_to_2024,0.825036986036568,1.678060907395898,-0.0396385481445237,5.121017471736897,5.631211781821365,0.0971223021582733,278
20,vision tokens and the,2024_to_2025,-0.17619664485130837,2.503097893432466,-0.0396385481445237,5.121017471736897,5.631211781821365,0.0971223021582733,278
3,multimodal visual and to,2023_to_2024,0.4245326975046648,6.960845245494096,-0.0514795641363246,5.137013221774611,6.827629234502852,0.0997830802603036,922
3,multimodal visual and to,2024_to_2025,0.18178058897248395,7.385377942998761,-0.0514795641363246,5.137013221774611,6.827629234502852,0.0997830802603036,922
38,watermarking watermark watermarks image,2023_to_2024,0.3776541957683816,0.0932256059664387,-0.0046046200194131,4.896428571428572,4.04305126783455,0.125,56
38,watermarking watermark watermarks image,2024_to_2025,0.17232867348273545,0.4708798017348203,-0.0046046200194131,4.896428571428572,4.04305126783455,0.125,56
7,protein molecular and drug,2023_to_2024,0.5201919500209091,2.0820385332504663,0.0478216847224058,5.205894962486602,5.7430031878094825,0.1382636655948553,311
7,protein molecular and drug,2024_to_2025,0.027357106588631996,2.6022304832713754,0.0478216847224058,5.205894962486602,5.7430031878094825,0.1382636655948553,311
11,series time forecasting data,2023_to_2024,0.6153429092704221,1.3673088875077688,0.0483503349417985,5.225814814814815,5.420534999272286,0.1111111111111111,225
