topic_id,topic_label,clean_topic_label,topic_size,share_2023_pp,share_2024_pp,share_2025_pp,delta_23_24_pp,delta_24_25_pp,delta_net_pp,delta_share_pp,avg_rating,avg_rating_z_year,prestige_concentration,trajectory_type
8,LLM reasoning,LLM reasoning,486,1.7712865133623368,2.825278810408922,5.959137343927355,1.0539922970465854,3.133858533518433,4.187850830565019,4.187850830565019,4.920233196159122,0.0491489097947408,0.1584362139917695,consistent growth
1,3D vision / scene generation,3D vision / scene generation,882,5.282784338098198,7.707558859975217,7.586076428301173,2.424774521877019,-0.12148243167404438,2.3032920902029748,2.3032920902029748,5.040513983371127,-0.1018803640461385,0.119047619047619,spike then reversal
14,preference learning / alignment,preference learning / alignment,200,0.435052827843381,2.007434944237918,1.986379114642452,1.572382116394537,-0.021055829595465925,1.5513262867990711,1.5513262867990707,5.082428571428571,0.0289671987096749,0.135,early growth / plateau
23,LLM safety / jailbreaks,LLM safety / jailbreaks,149,0.2175264139216905,1.214374225526642,1.7593643586833143,0.9968478116049516,0.5449901331566722,1.5418379447616237,1.5418379447616235,4.884899328859061,-0.0229119941086685,0.0738255033557047,consistent growth
22,efficient attention / KV cache,efficient attention / KV cache,252,1.3983840894965818,1.6852540272614622,2.6295875898600074,0.28686993776488046,0.9443335625985452,1.2312035003634256,1.2312035003634256,5.108994708994708,0.096203944426584,0.1468253968253968,consistent growth
21,video temporal understanding,video temporal understanding,173,0.839030453697949,1.090458488228005,1.9296254256526677,0.251428034530056,0.8391669374246626,1.0905949719547188,1.0905949719547183,4.86859344894027,-0.0804889007596239,0.1329479768786127,consistent growth
37,LoRA / low-rank finetuning,LoRA / low-rank finetuning,118,0.3107520198881293,0.9169764560099132,1.343170639424896,0.6062244361217839,0.4261941834149827,1.0324186195367666,1.0324186195367666,4.931638418079096,0.0041686435351239,0.1440677966101695,consistent growth
46,language modeling / LLMs,language modeling / LLMs,252,1.4916096954630205,2.057001239157373,2.289065455921301,0.5653915436943526,0.23206421676392797,0.7974557604582806,0.797455760458281,5.253231292517007,0.1314833279317556,0.1388888888888889,consistent growth
36,LLM agents,LLM agents,196,1.1187072715972657,1.5117719950433706,1.872871736662883,0.3930647234461049,0.3610997416195125,0.7541644650656174,0.7541644650656176,5.155527210884353,0.0539285015455479,0.1530612244897959,consistent growth
20,vision tokens,vision tokens,278,1.678060907395898,2.503097893432466,2.3269012485811578,0.825036986036568,-0.17619664485130837,0.6488403411852597,0.6488403411852597,5.121017471736897,-0.0396385481445237,0.0971223021582733,spike then reversal
