rating_col,n,bootstrap_iters,coef_mean,ci_low_95,ci_high_95
avg_rating_z_year,56,2000,-5.731065695639843,-8.725127395367245,-2.780386394574995
avg_rating,56,2000,-2.9298479394049792,-4.049648445668365,-1.9831753306582587
