spec,rating_col,weighted,n,r2,term,coef,std_err_robust,p_value_robust,ci_low_95,ci_high_95
delta_share_pp ~ avg_rating_z_year + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating_z_year,False,56,0.582544483830814,const,-6.322543601788494,1.7822080885359033,0.00038877289223546066,-9.815607268274837,-2.829479935302152
delta_share_pp ~ avg_rating_z_year + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating_z_year,False,56,0.582544483830814,avg_rating_z_year,-5.9027561229000955,1.6132395003521502,0.000253254749487297,-9.064647442027702,-2.740864803772489
delta_share_pp ~ avg_rating_z_year + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating_z_year,False,56,0.582544483830814,log_topic_size,1.3733382813046353,0.3678275727250065,0.0001887270246871763,0.6524094862428351,2.0942670763664353
delta_share_pp ~ avg_rating_z_year + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating_z_year,False,56,0.582544483830814,initial_share_2023_pp,-0.6577288621434799,0.1409747129730005,3.0774708568568203e-06,-0.9340342223014324,-0.38142350198552744
delta_share_pp ~ avg_rating_z_year + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating_z_year,False,56,0.582544483830814,prestige_concentration,6.540963349349693,3.2883629130331453,0.04668745887834599,0.0958904717075102,12.986036226991875
delta_share_pp ~ avg_rating_z_year + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating_z_year,True,56,0.7560157126940431,const,-10.34876351503479,2.4877586195460544,3.1842258417539e-05,-15.224680811574139,-5.472846218495441
delta_share_pp ~ avg_rating_z_year + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating_z_year,True,56,0.7560157126940431,avg_rating_z_year,-9.07885531114631,1.808287488196141,5.148554214213092e-07,-12.623033661705144,-5.5346769605874755
delta_share_pp ~ avg_rating_z_year + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating_z_year,True,56,0.7560157126940431,log_topic_size,2.067368601294431,0.5067965788098153,4.517407495057648e-05,1.0740655593390778,3.060671643249784
delta_share_pp ~ avg_rating_z_year + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating_z_year,True,56,0.7560157126940431,initial_share_2023_pp,-0.7663508810533002,0.15542198165563256,8.190386690048477e-07,-1.070972367504185,-0.4617293946024154
delta_share_pp ~ avg_rating_z_year + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating_z_year,True,56,0.7560157126940431,prestige_concentration,12.142269868290342,5.471426305266002,0.026472119207896046,1.4184713659039225,22.86606837067676
delta_share_pp ~ avg_rating + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating,False,56,0.7182777873076174,const,10.779979563855326,2.6820062973347754,5.835360773469954e-05,5.523343814769543,16.03661531294111
delta_share_pp ~ avg_rating + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating,False,56,0.7182777873076174,avg_rating,-2.9437966169671284,0.5550082695669368,1.13255670338566e-07,-4.031592836440222,-1.8560003974940344
delta_share_pp ~ avg_rating + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating,False,56,0.7182777873076174,log_topic_size,1.0020650099926014,0.3044748497392498,0.0009978730529600986,0.40530527030542707,1.5988247496797756
delta_share_pp ~ avg_rating + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating,False,56,0.7182777873076174,initial_share_2023_pp,-0.472443597283531,0.11447128972900962,3.672392203202742e-05,-0.6968032024162397,-0.24808399215082236
delta_share_pp ~ avg_rating + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating,False,56,0.7182777873076174,prestige_concentration,3.7153026865546925,2.608443024041088,0.15434885574978363,-1.397151696290586,8.827757069399972
delta_share_pp ~ avg_rating + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating,True,56,0.8363546650530097,const,16.10021510872158,4.21535310193148,0.00013376439717106478,7.838274846816683,24.362155370626482
delta_share_pp ~ avg_rating + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating,True,56,0.8363546650530097,avg_rating,-4.533270776834396,0.7423574115934174,1.017836004704724e-09,-5.9882645672138715,-3.0782769864549206
delta_share_pp ~ avg_rating + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating,True,56,0.8363546650530097,log_topic_size,1.548714216669596,0.451314809845628,0.0006001185583244494,0.6641534436826221,2.43327498965657
delta_share_pp ~ avg_rating + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating,True,56,0.8363546650530097,initial_share_2023_pp,-0.5624406496821314,0.16099076883200542,0.0004765178846314111,-0.8779767584362754,-0.2469045409279873
delta_share_pp ~ avg_rating + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating,True,56,0.8363546650530097,prestige_concentration,6.2335899406269935,4.118041745368519,0.13009515791918708,-1.8376235671277676,14.304803448381755
