topic_id,topic_label,topic_size,log_topic_size,avg_rating,avg_rating_z_year,avg_confidence,prestige_concentration,slope_share_pp_per_year,slope_p_descriptive,initial_share_2023_pp,final_share_2025_pp,delta_share_pp,count_2023,share_2023_pp,count_2024,share_2024_pp,count_2025,share_2025_pp,slope_q_bh_descriptive
8,LLM reasoning,486,6.18826412308259,4.920233196159122,0.04914890979474082,3.584482167352538,0.15843621399176955,2.09392541528251,0.1777727813227368,1.7712865133623368,5.959137343927355,4.187850830565019,57,1.7712865133623368,114,2.825278810408922,315,5.959137343927355,0.3687139168175282
1,3D vision / scene generation,882,6.78332520060396,5.0405139833711265,-0.10188036404613855,3.867743764172336,0.11904761904761904,1.1516460451014878,0.36164622160853244,5.282784338098198,7.586076428301173,2.3032920902029748,170,5.282784338098198,311,7.707558859975217,401,7.586076428301173,0.5063047102519455
14,preference learning / alignment,200,5.303304908059076,5.082428571428571,0.028967198709674995,3.463845238095238,0.135,0.7756631433995355,0.3407656274921441,0.435052827843381,1.9863791146424516,1.5513262867990707,14,0.435052827843381,81,2.007434944237918,105,1.9863791146424516,0.4893044907579505
23,LLM safety / jailbreaks,149,5.0106352940962555,4.884899328859061,-0.022911994108668596,3.663071268775967,0.0738255033557047,0.770918972380812,0.1067059180458297,0.2175264139216905,1.7593643586833143,1.5418379447616237,7,0.2175264139216905,49,1.2143742255266419,93,1.7593643586833143,0.3662470273449806
22,efficient attention / KV cache,252,5.53338948872752,5.108994708994708,0.09620394442658405,3.6572751322751325,0.14682539682539683,0.6156017501817133,0.1903868642528947,1.3983840894965818,2.6295875898600074,1.2312035003634256,45,1.3983840894965818,68,1.6852540272614622,139,2.6295875898600074,0.3708267405360665
21,video temporal understanding,173,5.159055299214529,4.86859344894027,-0.08048890075962398,3.8301541425818884,0.1329479768786127,0.5452974859773595,0.19203527634903444,0.839030453697949,1.9296254256526675,1.0905949719547183,27,0.839030453697949,44,1.090458488228005,102,1.9296254256526675,0.3708267405360665
37,LoRA / low-rank finetuning,118,4.77912349311153,4.931638418079096,0.0041686435351239075,3.6201977401129946,0.1440677966101695,0.5162093097683834,0.06387755076527847,0.3107520198881293,1.343170639424896,1.0324186195367666,10,0.3107520198881293,37,0.9169764560099133,71,1.343170639424896,0.3662470273449806
46,language modeling / LLMs,252,5.53338948872752,5.253231292517007,0.13148332793175563,3.4986678004535148,0.1388888888888889,0.3987278802291411,0.15075039298349438,1.4916096954630205,2.2890654559213015,0.797455760458281,48,1.4916096954630205,83,2.057001239157373,121,2.2890654559213015,0.3662470273449806
36,LLM agents,196,5.2832037287379885,5.155527210884353,0.053928501545547916,3.5877551020408167,0.15306122448979592,0.3770822325328089,0.015575472368402567,1.1187072715972655,1.872871736662883,0.7541644650656176,36,1.1187072715972655,61,1.5117719950433706,99,1.872871736662883,0.3662470273449806
20,vision tokens,278,5.631211781821365,5.121017471736897,-0.03963854814452373,3.8187735525865025,0.09712230215827339,0.32442017059263034,0.46331520066015397,1.678060907395898,2.3269012485811578,0.6488403411852597,54,1.678060907395898,101,2.503097893432466,123,2.3269012485811578,0.5765700274881916
3,multimodal visual learning,922,6.827629234502852,5.137013221774611,-0.051479564136324645,3.7786824708191302,0.09978308026030369,0.30315664323857555,0.14461842758979263,6.960845245494096,7.567158531971245,0.6063132864771488,224,6.960845245494096,298,7.385377942998761,400,7.567158531971245,0.3662470273449806
38,image watermarking,56,4.04305126783455,4.896428571428572,-0.0046046200194131415,3.654761904761905,0.125,0.2749914346255586,0.13515103063747733,0.09322560596643878,0.6432084752175558,0.549982869251117,3,0.09322560596643878,19,0.4708798017348203,34,0.6432084752175558,0.3662470273449806
7,protein / molecular modeling / drug discovery,311,5.7430031878094825,5.205894962486602,0.04782168472240589,3.554126473740622,0.1382636655948553,0.2737745283047705,0.3051001312528241,2.0820385332504663,2.6295875898600074,0.5475490566095411,67,2.0820385332504663,105,2.6022304832713754,139,2.6295875898600074,0.4746002041710597
