paper_id,topic_id,topic_prob
R45A8eKcax,-1,0.0
exg62lfHrB,-1,0.0
5cPz5hrjy6,0,1.0
9AcG3Tsyoq,0,0.6648953924535076
ECBK3TVmZl,0,1.0
vN9OBsZtYH,13,1.0
Yacmpz84TH,-1,0.0
Xj4LJiXvlX,0,0.5052908583945906
toYvRJ7Zmy,26,1.0
ZViPzk1sUI,-1,0.0
BmIW6U0rz8,-1,0.0
FskZtRvMJI,-1,0.0
7ntySBR3Ey,-1,0.0
utreNaM1VY,0,0.3844335084285128
LSYQB4CwD3,0,0.9674370579848652
05P1U0jk8r,0,1.0
0rEJx5QAxt,0,0.8967366016251386
ViFTWelHVZ,-1,0.0
6zyFgr1b8Q,0,0.4698656094435423
2NncD8AaFK,17,0.7287406997762947
kRdaTkaBwC,0,0.2070994781570493
sovxUzPzLN,0,0.5490535670248953
JpU5YmMKx7,2,1.0
OeLInnFKUK,4,1.0
haniyY7zm1,-1,0.0
9mJXDcr17V,0,1.0
ubap5FKbJs,0,0.9378079832217115
5UXXhVI08r,0,0.9439390144696048
dEySGIcDnI,0,0.9686100232185187
tECyQO1QOp,1,1.0
kR5ycmBclj,1,1.0
J8McuwS3zY,-1,0.0
GDYuzX0rwj,-1,0.0
gf5xJVQS5p,0,0.562356158654953
00EKYYu3fD,-1,0.0
xQOHOpe1Fv,0,0.4711015554451506
DI6KQhgqUr,-1,0.0
5F04bU79eK,0,1.0
UZlAjSnmvB,-1,0.0
IHR83ufYPy,-1,0.0
GYnbubCXhE,0,0.7200553545057173
4iMpwAlza1,-1,0.0
rxsCTtkqA9,-1,0.0
83LJRUzXWj,0,0.678286698156926
GEQZ52oqxa,7,0.5966412034043413
zW1uVN6Mbv,3,0.999123366250784
zGRWp7yRqd,-1,0.0
1FVmMlifl7,-1,0.0
sqkGJjIRfG,-1,0.0
vAElhFcKW6,0,0.9782869886027168
TUGoUNkccV,2,0.9988722214561152
RFE1eI0zNZ,16,0.2643689885363314
DKHEkP7Idx,0,0.8548776253004736
ZgVJvaAS2h,0,1.0
fem6BIJkdv,-1,0.0
Ozc8XVzwd4,-1,0.0
puupdGOWUp,1,1.0
cwBeRBe9hq,0,1.0
J1gBijopla,14,1.0
SjiLtmZETc,0,1.0
IKjOMA8olL,1,1.0
srJvUWZu6L,-1,0.0
rmQgQCZWiP,-1,0.0
SJw4Da8BuR,5,0.545071807441637
iajxrSgOSX,0,0.988001933927855
xo2lbfQE8I,-1,0.0
w91JqNQLwy,11,1.0
XvfEYqEbIb,0,0.6547846401685782
Xy7DoWSNZX,-1,0.0
DP2lioYIYl,0,1.0
QezJbfW01r,4,1.0
GuErIOGLie,18,1.0
etd0ebzGOG,-1,0.0
uotGmrcooz,0,0.5756944168107814
PAYXfIUKWY,-1,0.0
OmTMaTbjac,17,0.782039877089737
BHxsP5fSHv,-1,0.0
2nTpPxJ5Bs,0,1.0
50hs53Zb3w,11,1.0
4vpsQdRBlK,-1,0.0
S1KGaTSOTS,0,1.0
Nr1XSeDzpn,7,0.747850604828299
94rKFkcm56,1,1.0
uoG1fLIK2s,10,0.6790199428918052
LnySNEJAQt,-1,0.0
SFfOt1oDsX,1,1.0
ghzEUGfRMD,-1,0.0
sw2Y0sirtM,2,1.0
B6HSIgvyJ3,0,0.3285406592201015
5XshcizH9w,14,0.6325772339395109
eibTaY6qGI,17,1.0
hN4qpvGzWn,0,0.3015028272451655
zPYeYv6YYs,26,1.0
zfCNwRQ569,19,0.6481377475839931
e2MCL6hObn,0,0.7861138195065374
QRAS5wSgEy,-1,0.0
8Oukmqfek2,0,0.8674046889304291
QjI36zxjbW,-1,0.0
ZBB8EFO7ma,0,0.4285204573057084
5bWW9Eop7l,0,0.7886851952819571
gh9JNeqjzo,0,1.0
eIFZtkshgH,0,0.6599854537173897
CXPUg86A1D,0,1.0
dbVRDk2wt7,0,0.1226501114747889
BYywOFbRFz,-1,0.0
yiehppUCO2,-1,0.0
jS4DUGOtBD,0,0.9542775653353
Lr2swAfwff,0,0.7321518331889827
vvoWPYqZJA,0,0.9747079114570508
lXOoR4KYcJ,-1,0.0
vfDPA1Ft0c,0,0.5359467103587285
A4zzxu82a7,-1,0.0
Ifq8GMdqJK,0,0.8074112614939007
thbXgJ8gNK,-1,0.0
gAP52Z2dar,0,0.7089820766684296
s86M8naPSv,-1,0.0
MamHShmHiX,-1,0.0
0tEjORCGFD,0,0.6986216845262571
GJtP1ZEzua,1,1.0
zAQK5r1enm,0,0.8904342187285276
ZcuFDaMTYw,-1,0.0
PITeSdYQkv,4,1.0
0eRDQQK2TW,0,0.5970663746579258
6Odmtoek02,-1,0.0
m2WR1yJ8N9,-1,0.0
FOFJmR1oxt,0,0.4111539209880137
9EndFTDiqh,0,1.0
hCdqDkA25J,7,1.0
1g0A9kE8Id,14,1.0
MFWgLCWgUB,0,0.4172128461939834
KffE8iXAw7,1,1.0
fKVEMNmWqU,-1,0.0
x5fs7TXKDc,-1,0.0
N56hAiQvot,0,0.6580199545599832
bPJmu1PbZD,10,0.5605177028831024
GfITbjrIOd,-1,0.0
CWdxHxVAGG,24,1.0
t7lnhhi7De,0,0.7572007524544128
w6krZiUa7t,2,0.769831331967077
nArzDm353Y,-1,0.0
k6yNi6DEqK,-1,0.0
Ypbke6biDm,0,0.7305036786975884
MCj7DLkYqS,0,0.305783401931505
gMjIUZBKH8,-1,0.0
yh0OkiUk5h,-1,0.0
CXrRMfs5eY,-1,0.0
hcXDbbzgoh,0,1.0
eqyhjLG5Nr,16,0.6614705318718405
y08bkEtNBK,0,1.0
