spec,rating_col,weighted,n,r2,term,coef,std_err_robust,p_value_robust,ci_low_95,ci_high_95
delta_share_pp ~ avg_rating_z_year + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating_z_year,False,28,0.4777450976558162,const,2.407841348167027,4.599188424434019,0.6006012091974727,-6.606402321837166,11.42208501817122
delta_share_pp ~ avg_rating_z_year + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating_z_year,False,28,0.4777450976558162,avg_rating_z_year,-1.1361805037027453,1.3402363759180826,0.3965792440395246,-3.762995531272672,1.4906345238671816
delta_share_pp ~ avg_rating_z_year + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating_z_year,False,28,0.4777450976558162,log_topic_size,-0.6407846017175014,1.3533149730397491,0.635861791585425,-3.293233208614204,2.0116640051792007
delta_share_pp ~ avg_rating_z_year + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating_z_year,False,28,0.4777450976558162,initial_share_2023_pp,0.09046174982527917,0.6361304986766437,0.8869170739483323,-1.1563311170484472,1.3372546166990054
delta_share_pp ~ avg_rating_z_year + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating_z_year,False,28,0.4777450976558162,prestige_concentration,2.618333920561894,6.0816217188547395,0.6668085556378403,-9.301425615989974,14.53809345711376
delta_share_pp ~ avg_rating_z_year + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating_z_year,True,28,0.9134833225018886,const,3.8172407516678195,6.95009255338088,0.5828435296875114,-9.804690342178729,17.439171845514366
delta_share_pp ~ avg_rating_z_year + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating_z_year,True,28,0.9134833225018886,avg_rating_z_year,-1.7123596019250487,2.850110048572962,0.5479700524737539,-7.298472649103759,3.8737534452536613
delta_share_pp ~ avg_rating_z_year + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating_z_year,True,28,0.9134833225018886,log_topic_size,-1.1302173157919304,2.1581015208317518,0.6004809141335814,-5.360018571603281,3.0995839400194205
delta_share_pp ~ avg_rating_z_year + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating_z_year,True,28,0.9134833225018886,initial_share_2023_pp,0.1262864556312605,0.6698031558960329,0.8504512925547502,-1.1865036066562311,1.4390765179187524
delta_share_pp ~ avg_rating_z_year + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating_z_year,True,28,0.9134833225018886,prestige_concentration,9.884603645851152,20.49587399628855,0.6296121286812668,-30.28657121854544,50.05577851024774
delta_share_pp ~ avg_rating + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating,False,28,0.640865699414157,const,13.501898109952034,8.673685159944847,0.11955343855866189,-3.498212416779406,30.502008636683474
delta_share_pp ~ avg_rating + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating,False,28,0.640865699414157,avg_rating,-2.3094424903301927,1.102942627451701,0.036269622583894746,-4.471170317149505,-0.14771466351088058
delta_share_pp ~ avg_rating + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating,False,28,0.640865699414157,log_topic_size,-0.43439892057664425,1.1302699223752861,0.7007323796756305,-2.6496872612410876,1.7808894200877992
delta_share_pp ~ avg_rating + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating,False,28,0.640865699414157,initial_share_2023_pp,0.07712233788546793,0.548203023861796,0.8881211078155006,-0.9973358450996039,1.1515805208705399
delta_share_pp ~ avg_rating + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating,False,28,0.640865699414157,prestige_concentration,2.9786257355687513,4.539663041010494,0.5117381273067809,-5.9189503267593935,11.876201797896897
delta_share_pp ~ avg_rating + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating,True,28,0.942701827747231,const,21.9087664483598,14.948385718475972,0.1427497722209543,-7.389531186866005,51.20706408358561
delta_share_pp ~ avg_rating + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating,True,28,0.942701827747231,avg_rating,-3.747171395481847,1.990442993834643,0.05975708919305968,-7.648367976677829,0.15402518571413415
delta_share_pp ~ avg_rating + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating,True,28,0.942701827747231,log_topic_size,-0.8598032871520215,1.7798577497244834,0.6290430807830126,-4.3482603742165145,2.6286537999124713
delta_share_pp ~ avg_rating + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating,True,28,0.942701827747231,initial_share_2023_pp,0.10771394007937572,0.5508438148521432,0.8449674689602392,-0.9719200981374746,1.187347978296226
delta_share_pp ~ avg_rating + log_topic_size + initial_share_2023_pp + prestige_concentration,avg_rating,True,28,0.942701827747231,prestige_concentration,12.389258421811123,14.793557760367099,0.4023247259703867,-16.605581991721415,41.38409883534366
