rating_col,n,bootstrap_iters,coef_mean,ci_low_95,ci_high_95
avg_rating_z_year,28,2000,-0.7524918095793655,-2.819894690609313,0.7609404123184589
avg_rating,28,2000,-1.9790756990776435,-3.7684620065466374,-0.6091165961072229
