topic_id,topic_label,topic_size,log_topic_size,avg_rating,avg_rating_z_year,avg_confidence,prestige_concentration,slope_share_pp_per_year,slope_p_descriptive,initial_share_2023_pp,final_share_2025_pp,delta_share_pp,count_2023,share_2023_pp,count_2024,share_2024_pp,count_2025,share_2025_pp,slope_q_bh_descriptive
0,model | method | image,4950,8.507344855361422,5.25601924001924,0.062201273935172295,,0.12121212121212122,1.4097545948986026,0.21779316198574625,59.51932139491046,62.338830584707644,2.8195091897971807,1263,59.51932139491046,1608,61.798616448885475,2079,62.338830584707644,0.5729577873064787
8,attack | backdoor | safety,140,4.948759890378168,4.948928571428572,-0.21324409804686176,,0.08571428571428572,0.6146290662397361,0.07451482411536839,0.9896324222431668,2.2188905547226385,1.2292581324794716,21,0.9896324222431668,45,1.7294388931591085,74,2.2188905547226385,0.5729577873064787
12,medical | clinical | segmentation,92,4.532599493153256,4.93713768115942,-0.21891502547318833,,0.08695652173913043,0.41332538254906487,0.14457748662900338,0.6126295947219604,1.43928035982009,0.8266507650981296,13,0.6126295947219604,31,1.191391237509608,48,1.43928035982009,0.5729577873064787
20,watermark | watermarking | image,55,4.02535169073515,4.95,-0.03922311919682256,,0.10909090909090909,0.3705169093116025,0.20098886237292518,0.1885014137606032,0.9295352323838081,0.7410338186232048,4,0.1885014137606032,20,0.7686395080707148,31,0.9295352323838081,0.5729577873064787
27,cache | compression | attention,30,3.4339872044851463,4.7844444444444445,0.16024022586237022,,0.13333333333333333,0.29770223276674584,0.2353315259821715,0.0942507068803016,0.6896551724137931,0.5954044655334916,2,0.0942507068803016,5,0.1921598770176787,23,0.6896551724137931,0.5729577873064787
9,protein | sequence | cell,104,4.653960350157523,5.175000000000001,0.17613214785374517,,0.16346153846153846,0.2847939837809654,0.10616911232982572,0.9896324222431668,1.5592203898050974,0.5695879675619305,21,0.9896324222431668,31,1.191391237509608,52,1.5592203898050974,0.5729577873064787
5,transformer | attention | layer,186,5.231108616854587,5.388888888888889,0.24166240216108253,,0.13440860215053763,0.24404856949470624,0.666721072811258,1.7907634307257305,2.2788605697151425,0.488097138989412,38,1.7907634307257305,72,2.7671022290545735,76,2.2788605697151425,0.8116604364658793
14,modality | multimodal | contrastive,71,4.276666119016055,5.037558685446008,-0.08371801451453681,,0.1267605633802817,0.13916463069125196,0.5097259996762662,0.8011310084825636,1.0794602698650675,0.2783292613825039,17,0.8011310084825636,18,0.6917755572636434,36,1.0794602698650675,0.648742181406157
26,conformal | conformal prediction | prediction,33,3.5263605246161616,5.143434343434344,-0.06390478399424412,,0.0,0.10707417262151213,0.4470482803652283,0.235626767200754,0.4497751124437781,0.2141483452430241,5,0.235626767200754,13,0.49961568024596464,15,0.4497751124437781,0.648742181406157
22,transport | optimal transport | optimal,44,3.8066624897703196,5.411742424242424,0.35436833407719165,,0.13636363636363635,0.04923080401363882,0.369912398671617,0.471253534401508,0.5697151424287856,0.0984616080272776,10,0.471253534401508,15,0.5764796310530361,19,0.5697151424287856,0.5771857630012981
19,anomaly | anomaly detection | detection,50,3.9318256327243257,5.0089999999999995,-0.1109099596792606,,0.08,0.044935119622092894,0.8285297320400118,0.6597549481621112,0.7496251874062968,0.08987023924418558,14,0.6597549481621112,11,0.42275172943889316,25,0.7496251874062968,0.966618020713347
16,recommendation | user | item,66,4.204692619390966,5.076010101010101,-0.24585242347484781,,0.09090909090909091,0.04278727742631989,0.37017715821900554,0.7540056550424128,0.8395802098950524,0.08557455485263965,16,0.7540056550424128,22,0.8455034588777863,28,0.8395802098950524,0.5771857630012981
25,distillation | teacher | student,33,3.5263605246161616,5.060101010101009,-0.22813339016699916,,0.030303030303030304,0.03638614246128593,0.27512809682270994,0.3770028275212064,0.4497751124437781,0.0727722849225717,8,0.3770028275212064,10,0.3843197540353574,15,0.4497751124437781,0.5771857630012981
2,brain | neural | activity,295,5.69035945432406,5.39638418079096,0.35127560952101977,,0.17288135593220338,0.02545616918213848,0.9513540808579176,3.817153628652215,3.868065967016492,0.05091233836427689,81,3.817153628652215,85,3.266717909300538,129,3.868065967016492,0.9817255921288328
18,speech | speaker | audio,55,4.02535169073515,5.41,0.2883279198763135,,0.03636363636363636,0.014950112125841053,0.3710479905008345,0.6597549481621112,0.6896551724137931,0.02990022425168193,14,0.6597549481621112,18,0.6917755572636434,23,0.6896551724137931,0.5771857630012981
17,audio | audio visual | sound,65,4.189654742026425,5.254102564102564,0.15579962254683025,,0.1076923076923077,0.010654427734294912,0.9299920645918487,0.8482563619227145,0.8695652173913043,0.02130885546858985,18,0.8482563619227145,18,0.6917755572636434,29,0.8695652173913043,0.9817255921288328
15,spike | neural | neural network,64,4.174387269895637,5.343229166666667,0.08758061506393822,,0.125,-0.0021902338180579896,0.9817255921288328,0.7540056550424128,0.7496251874062968,-0.004380467636115992,16,0.7540056550424128,23,0.883935434281322,25,0.7496251874062968,0.9817255921288328
10,molecular | molecule | drug,108,4.6913478822291435,5.197839506172839,-0.09884958300520247,,0.08333333333333333,-0.006507114020746181,0.9692254707010546,1.2723845428840717,1.2593703148425788,-0.013014228041492881,27,1.2723845428840717,39,1.498847040737894,42,1.2593703148425788,0.9817255921288328
23,quantum | circuit | classical,44,3.8066624897703196,5.356818181818182,0.1616523850944217,,0.18181818181818182,-0.012887053174637848,0.36815063066387416,0.5655042412818096,0.5397301349325337,-0.025774106349275905,12,0.5655042412818096,14,0.5380476556495004,18,0.5397301349325337,0.5771857630012981
21,continual | continual learning | task,47,3.8712010109078907,5.155876393110435,-0.17102464239232823,,0.0851063829787234,-0.04501990286666267,0.49469289366174884,0.6597549481621112,0.5697151424287856,-0.0900398057333256,14,0.6597549481621112,14,0.5380476556495004,19,0.5697151424287856,0.648742181406157
24,ood | detection | distribution,39,3.6888794541139363,5.322222222222223,-0.1288680275585826,,0.07692307692307693,-0.10284207566339346,0.36196862828148063,0.5655042412818096,0.3598200899550225,-0.20568415132678713,12,0.5655042412818096,15,0.5764796310530361,12,0.3598200899550225,0.5771857630012981
13,fairness | fair | group,68,4.23410650459726,5.415686274509803,0.2622969918338417,,0.10294117647058823,-0.11358128664225842,0.49385840765749406,1.0367577756833177,0.8095952023988006,-0.22716257328451717,22,1.0367577756833177,19,0.7302075326671791,27,0.8095952023988006,0.648742181406157
3,causal | effect | variable,218,5.389071729816501,5.417048929663608,0.16807665307583802,,0.13302752293577982,-0.3771511981992032,0.21969857270141402,3.063147973609802,2.3088455772113945,-0.7543023963984075,65,3.063147973609802,76,2.9208301306687163,77,2.3088455772113945,0.5729577873064787
7,convex | optimization | gradient,161,5.087596335232384,5.46103223898255,0.21680150616662636,,0.14285714285714285,-0.4092416562689432,0.08034796055180964,2.4976437323279925,1.6791604197901049,-0.8184833125378876,53,2.4976437323279925,52,1.9984627209838586,56,1.6791604197901049,0.5729577873064787
11,matrix | algorithm | rank,92,4.532599493153256,5.665398550724638,0.4831398186525661,,0.21739130434782608,-0.43703642994713776,0.24555333741706228,1.7436380772855797,0.8695652173913043,-0.8740728598942754,37,1.7436380772855797,26,0.9992313604919293,29,0.8695652173913043,0.5729577873064787
6,adversarial | attack | robustness,181,5.204006687076795,5.343133385951065,-0.14211528962303382,,0.11602209944751381,-0.6812757617421259,0.17582458872930737,2.9217719132893496,1.5592203898050974,-1.3625515234842522,62,2.9217719132893496,67,2.574942352036895,52,1.5592203898050974,0.5729577873064787
4,privacy | private | differential privacy,188,5.241747015059643,5.558067375886524,0.3193688955028786,,0.1595744680851064,-0.805532671929822,0.2427105687189886,3.4401508011310087,1.8290854572713644,-1.6110653438596443,73,3.4401508011310087,54,2.07532667179093,61,1.8290854572713644,0.5729577873064787
1,graph | node | gnn,580,6.364750756851911,5.383727422003284,0.14808878535685216,,0.09827586206896552,-1.1121442106467962,0.19305357280181498,8.671065032987748,6.446776611694153,-2.224288421293595,184,8.671065032987748,181,6.956187548039969,215,6.446776611694153,0.5729577873064787
